"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 08 05:49:10 UTC 2026","Sun Mar 08 05:49:22 UTC 2026","12021","","","","","","prevents deleting a service that has associated routes",""
"failed","Sun Mar 08 05:49:59 UTC 2026","Sun Mar 08 05:50:01 UTC 2026","1346","","","","","","warns or sanitizes forbidden characters in service name",""
"failed","Sun Mar 08 05:49:02 UTC 2026","Sun Mar 08 05:49:03 UTC 2026","1039","","","","","","validates URL with spaces or control characters",""
"failed","Sun Mar 08 08:14:35 UTC 2026","Sun Mar 08 08:14:45 UTC 2026","10403","","","","","","cancels add route operation without creating",""
"passed","Sun Mar 08 05:47:18 UTC 2026","Sun Mar 08 05:47:18 UTC 2026","62","","","","","","generates allure-results artifacts",""
"failed","Sun Mar 08 08:16:54 UTC 2026","Sun Mar 08 08:17:04 UTC 2026","10374","","","","","","prevents duplicate service creation",""
"failed","Sun Mar 08 08:13:50 UTC 2026","Sun Mar 08 08:14:01 UTC 2026","11226","","","","","","creates a new route and shows it in the list",""
"passed","Sun Mar 08 05:47:29 UTC 2026","Sun Mar 08 05:47:31 UTC 2026","1996","","","","","","creates a new route and shows it in the list",""
"failed","Sun Mar 08 08:15:45 UTC 2026","Sun Mar 08 08:15:55 UTC 2026","10388","","","","","","shows validation when required fields missing",""
"passed","Sun Mar 08 05:47:31 UTC 2026","Sun Mar 08 05:47:33 UTC 2026","1861","","","","","","displays route details correctly after creation",""
"passed","Sun Mar 08 05:49:53 UTC 2026","Sun Mar 08 05:49:54 UTC 2026","1648","","","","","","cancels add service operation without creating",""
"failed","Sun Mar 08 08:15:12 UTC 2026","Sun Mar 08 08:15:23 UTC 2026","10365","","","","","","deletes a service from its detail view",""
"passed","Sun Mar 08 05:48:33 UTC 2026","Sun Mar 08 05:48:35 UTC 2026","1542","","","","","","cancels add service operation without creating",""
"failed","Sun Mar 08 05:48:20 UTC 2026","Sun Mar 08 05:48:33 UTC 2026","13051","","","","","","deletes a service from its detail view",""
"passed","Sun Mar 08 05:48:04 UTC 2026","Sun Mar 08 05:48:06 UTC 2026","2426","","","","","","creates a new service and shows it in the list",""
"failed","Sun Mar 08 05:48:45 UTC 2026","Sun Mar 08 05:48:58 UTC 2026","13286","","","","","","prevents deleting a service that has associated routes",""
"passed","Sun Mar 08 05:47:52 UTC 2026","Sun Mar 08 05:47:59 UTC 2026","6673","","","","","","deletes a route from route list in overview page",""
"failed","Sun Mar 08 08:15:01 UTC 2026","Sun Mar 08 08:15:12 UTC 2026","10385","","","","","","displays service details correctly after creation",""
"failed","Sun Mar 08 05:49:39 UTC 2026","Sun Mar 08 05:49:52 UTC 2026","13790","","","","","","deletes a service from its detail view",""
"failed","Sun Mar 08 05:49:26 UTC 2026","Sun Mar 08 05:49:38 UTC 2026","11802","","","","","","displays service details correctly after creation",""
"passed","Sun Mar 08 05:49:55 UTC 2026","Sun Mar 08 05:49:58 UTC 2026","3012","","","","","","creates a service with both name and tags empty and receives auto-generated name",""
"failed","Sun Mar 08 08:17:18 UTC 2026","Sun Mar 08 08:17:29 UTC 2026","11179","","","","","","creates a new service and shows it in the list",""
"failed","Sun Mar 08 05:47:34 UTC 2026","Sun Mar 08 05:47:52 UTC 2026","18168","","","","","","creates a new route via service details page",""
"failed","Sun Mar 08 08:15:34 UTC 2026","Sun Mar 08 08:15:44 UTC 2026","10355","","","","","","creates a service with both name and tags empty and receives auto-generated name",""
"failed","Sun Mar 08 08:15:23 UTC 2026","Sun Mar 08 08:15:34 UTC 2026","10388","","","","","","cancels add service operation without creating",""
"passed","Sun Mar 08 05:49:23 UTC 2026","Sun Mar 08 05:49:25 UTC 2026","2388","","","","","","creates a new service and shows it in the list",""
"failed","Sun Mar 08 08:18:02 UTC 2026","Sun Mar 08 08:18:12 UTC 2026","10388","","","","","","creates a service with both name and tags empty and receives auto-generated name",""
"failed","Sun Mar 08 08:16:18 UTC 2026","Sun Mar 08 08:16:29 UTC 2026","10574","","","","","","warns or sanitizes forbidden characters in service name",""
"passed","Sun Mar 08 05:48:35 UTC 2026","Sun Mar 08 05:48:38 UTC 2026","2763","","","","","","creates a service with both name and tags empty and receives auto-generated name",""
"passed","Sun Mar 08 05:48:39 UTC 2026","Sun Mar 08 05:48:44 UTC 2026","5323","","","","","","prevents duplicate service creation",""
"failed","Sun Mar 08 08:17:05 UTC 2026","Sun Mar 08 08:17:15 UTC 2026","10355","","","","","","prevents deleting a service that has associated routes",""
"passed","Sun Mar 08 05:49:04 UTC 2026","Sun Mar 08 05:49:05 UTC 2026","787","","","","","","shows validation when required fields missing",""
"failed","Sun Mar 08 08:14:12 UTC 2026","Sun Mar 08 08:14:23 UTC 2026","10672","","","","","","creates a new route via service details page",""
"failed","Sun Mar 08 05:48:07 UTC 2026","Sun Mar 08 05:48:19 UTC 2026","11896","","","","","","displays service details correctly after creation",""
"failed","Sun Mar 08 08:14:24 UTC 2026","Sun Mar 08 08:14:34 UTC 2026","10497","","","","","","deletes a route from route list in overview page",""
"passed","Sun Mar 08 05:49:05 UTC 2026","Sun Mar 08 05:49:09 UTC 2026","3297","","","","","","prevents duplicate service creation",""
"passed","Sun Mar 08 05:47:21 UTC 2026","Sun Mar 08 05:47:28 UTC 2026","6197","","","","","","prevents duplicate route creation",""
"failed","Sun Mar 08 08:16:07 UTC 2026","Sun Mar 08 08:16:18 UTC 2026","10410","","","","","","prevents deleting a service that has associated routes",""
"failed","Sun Mar 08 08:17:29 UTC 2026","Sun Mar 08 08:17:40 UTC 2026","10385","","","","","","displays service details correctly after creation",""
"failed","Sun Mar 08 08:17:51 UTC 2026","Sun Mar 08 08:18:01 UTC 2026","10359","","","","","","cancels add service operation without creating",""
"failed","Sun Mar 08 08:13:25 UTC 2026","Sun Mar 08 08:13:37 UTC 2026","11938","","","","","","shows validation when required fields missing",""
"passed","Sun Mar 08 08:13:22 UTC 2026","Sun Mar 08 08:13:22 UTC 2026","1","","","","","","smoke-test-valid",""
"passed","Sun Mar 08 05:47:18 UTC 2026","Sun Mar 08 05:47:18 UTC 2026","1","","","","","","smoke-test-valid",""
"passed","Sun Mar 08 05:47:20 UTC 2026","Sun Mar 08 05:47:21 UTC 2026","1346","","","","","","shows validation when required fields missing",""
