"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 12 02:18:56 UTC 2026","Thu Mar 12 02:18:57 UTC 2026","112","","","","","","generates allure-results artifacts @full",""
"passed","Thu Mar 12 02:19:31 UTC 2026","Thu Mar 12 02:19:35 UTC 2026","3502","","","","","","displays route details correctly after creation @route @full",""
"passed","Thu Mar 12 02:19:15 UTC 2026","Thu Mar 12 02:19:19 UTC 2026","3999","","","","","","deletes a route from route list in overview page @route @full",""
"passed","Thu Mar 12 02:19:43 UTC 2026","Thu Mar 12 02:19:45 UTC 2026","2692","","","","","","creates a service with both name and tags empty and receives auto-generated name @critical @service @full",""
"passed","Thu Mar 12 02:20:21 UTC 2026","Thu Mar 12 02:20:22 UTC 2026","1114","","","","","","placeholder for update tests @service @full",""
"passed","Thu Mar 12 02:20:14 UTC 2026","Thu Mar 12 02:20:19 UTC 2026","5203","","","","","","displays service details correctly after creation @critical @service @full",""
"passed","Thu Mar 12 02:19:39 UTC 2026","Thu Mar 12 02:19:43 UTC 2026","4088","","","","","","creates a new service and shows it in the list @critical @service @full",""
"passed","Thu Mar 12 02:20:11 UTC 2026","Thu Mar 12 02:20:12 UTC 2026","1071","","","","","","validates URL with spaces or control characters @service @full",""
"passed","Thu Mar 12 02:20:09 UTC 2026","Thu Mar 12 02:20:11 UTC 2026","1627","","","","","","warns or sanitizes forbidden characters in service name @service @full",""
"passed","Thu Mar 12 02:18:58 UTC 2026","Thu Mar 12 02:19:03 UTC 2026","4873","","","","","","creates a new route and shows it in the list @route @critical @full",""
"passed","Thu Mar 12 02:19:21 UTC 2026","Thu Mar 12 02:19:22 UTC 2026","1357","","","","","","shows validation when required fields missing @route @full",""
"passed","Thu Mar 12 02:19:54 UTC 2026","Thu Mar 12 02:19:59 UTC 2026","4562","","","","","","prevents duplicate service creation @service @full",""
"passed","Thu Mar 12 02:19:53 UTC 2026","Thu Mar 12 02:19:54 UTC 2026","1175","","","","","","shows validation when required fields missing @service @full",""
"passed","Thu Mar 12 02:19:28 UTC 2026","Thu Mar 12 02:19:29 UTC 2026","1203","","","","","","placeholder param validation @route @full",""
"passed","Thu Mar 12 02:19:03 UTC 2026","Thu Mar 12 02:19:13 UTC 2026","9544","","","","","","creates a new route via service details page @route @critical @full",""
"passed","Thu Mar 12 02:19:22 UTC 2026","Thu Mar 12 02:19:26 UTC 2026","4301","","","","","","prevents duplicate route creation @route @full",""
"passed","Thu Mar 12 02:19:47 UTC 2026","Thu Mar 12 02:19:51 UTC 2026","4231","","","","","","deletes a service from its overview view @critical @service @full",""
"passed","Thu Mar 12 02:19:36 UTC 2026","Thu Mar 12 02:19:36 UTC 2026","19","","","","","","placeholder for update tests @route @full",""
"passed","Thu Mar 12 02:19:59 UTC 2026","Thu Mar 12 02:20:08 UTC 2026","8376","","","","","","prevents deleting a service that has associated routes @service @full",""
